نام درس,واحد,پیشنیاز همنیاز,نوع
فيزيك۱,3,,پايه
فيزيك۲,3,,پايه
زيست شناسي عمومي,2,,پايه
رياضي عمومي ۱,4,,پايه
مباني رياضيات,4,,پايه
رياضي عمومي ۲,4,,پايه
مباني كامپيوتر و برنامه سازي,4,,پايه
مباني علم اقتصاد,3,,اختياري
آزمايشگاه فيزيك۱,1,,اختياري
آزمايشگاه فيزيك۲,1,,اختياري
آناليز رياضي ۱,4,,اختياري
سيستم هاي شي گراء,3,,اختياري
شبيه سازي كامپيوتر,3,,اختياري
بيوانفورماتيك مقدماتي,3,,اختياري
رياضي براي علوم كامپيوتر,3,,اختياري
نرم افزارهاي رياضي,3,,اختياري
بهينه سازي تركيباتي,3,,اختياري
گرافيك كامپيوتري,3,,اختياري
تركيبات و كاربرد ها,3,,اختياري
مهندسي نرم افزار,3,,اختياري
نظريه گراف و كاربرد ها,4,,اختياري
نگارش علمي,3,,اختياري
تركيبات براي علوم كامپيوتر,3,,اختياري
معماري كامپيوتر,3,,اختياري
ريز پردازنده,3,,اختياري
سيستم هاي بي درنگ,3,,اختياري
حسابگري زيستي,3,,اختياري
نظريه رمز نگاري مقدماتي,3,,اختياري
نظريه كدگذاري مقدماتي,3,,اختياري
اصول طراحي نرم افزار,3,,اختياري
برنامه ريزي خطي,3,,اختياري
برنامه ريزي غير خطي,3,,اختياري
برنامه نويسي وب,3,,اختياري
برنامه نويسي امن,3,,اختياري
سيستم هاي چند رسانه اي,3,,اختياري
بازيابي اطلاعات پيشرفته,3,,اختياري
سيگنالها و سيستم ها,3,,اختياري
منطق,4,,اختياري
منطق هاي غير كلاسيك,4,,اختياري
نظريه مقدماتي شبكه ها,4,,اختياري
مباحثي در علوم كامپيوتر ۲,3,,اختياري
حسابان پيشرفته,4,,اختياري
اناليز رياضي ۲,4,,اختياري
توابع مختلط,4,,اختياري
جبر ۲,4,,اختياري
توپولوژي عمومي,4,,اختياري
نظريه مقدماتي اعداد,4,,اختياري
روشهاي نمونه گيري ۲,3,,اختياري
رگرسيون ۱,3,,اختياري
روشهاي ناپارامتري,3,,اختياري
سري هاي زماني ۱,3,,اختياري
طرح ازمايش ها ۱,3,,اختياري
طرح ازمايش ها ۲,3,,اختياري
تحليل چند متغيره اماري,3,,اختياري
تحليل داده هاي گسسته,3,,اختياري
يادگيري اماري مقدماتي,3,,اختياري
محاسبات اماري,3,,اختياري
مباحثي در علوم كامپيوتر ۱,3,,اختياري
پايگاه داده ها,3,,اختياري
زبانهاي برنامه سازي,3,,اختياري
مباني آناليز عددي,4,,اختياري
برنامه ريزي پويا,3,,اختياري
مهندسي اينترنت,3,,اختياري
شبكه هاي كامپيوتري,3,,اختياري
بهينه سازي خطي ۱,4,,اختياري
فارسي عمومي,3,,عمومي
زبان عمومي,3,,عمومي
تربيت بدني,1,,عمومي
ورزش۱,1,,عمومي
تربيت بدني ويژه,1,,عمومي
ورزش ويژه,1,,عمومي
انديشه اسلامي ۱,2,,عمومي
انديشه اسلامي ۲,2,,عمومي
حقوق اجتماعي و سياسي در اسلام,2,,عمومي
اخلاق اسلامي (مباني و مفاهيم),2,,عمومي
انقلاب اسلامي ايران,2,,عمومي
تاريخ تحليلي صدر اسلام,2,,عمومي
تاريخ امامت,2,,عمومي
تفسير موضوعي قران,2,,عمومي
تفسير موضوعي نهج البلاغه,2,,عمومي
دانش خانواده و جمعيت,2,,عمومي
علوم و معارف دفاع مقدس ومقاومت,2,,عمومي
مهارت هاي زندگي دانشجويي,2,,عمومي اختياري
معادلات ديفرانسيل,3,,تخصصي
جبر۱,4,,تخصصي
مباني تركيبيات,4,,تخصصي
جبر خطي,4,,تخصصي
احتمال ۱,4,,تخصصي
روشهاي آماري,3,,تخصصي
كامپايلر,3,,تخصصي
مباني نظريه محاسبه,3,,تخصصي
داده كاوي,3,,تخصصي
اصول سيستمهاي عامل,4,,تخصصي
هوش مصنوعي,3,,تخصصي
نظريه محاسبه,3,,تخصصي
پروژه كارشناسي علوم كامپيوتر,3,,تخصصي
ساختمان داده ها و الگوريتم,4,,تخصصي
طراحي و تحليل الگوريتم ها,4,,تخصصي
مباني منطق,3,,تخصصي
اصول سيستمهاي كامپيوتري,3,,تخصصي
زبان ماشين و اسمبلي,3,,تخصصي
محاسبات علمي,4,,تخصصي
برنامه سازي پيشرفته,4,,تخصصي
مجموع,310,,103 درس
